Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
RASGRP1	1,6E-08	------+	3,6E-60	-------	2,8E-06	+++++++	cg02824983	-4,5	3,3E-06	53	2
SOX8	2,2E-04	----++-	5,4E-44	--+----	1,4E-27	+++++++	cg02240748	-8,6	5,2E-18	561	29
GLMN	3,3E-05	-----?-	4,4E-33	-----?-	4,8E-06	+++-+?+	cg09674502	-4,3	9,6E-06	108	1
METAP2	2,2E-05	+------	6,6E-04	-----+-	9,5E-04	+++-++-	cg03162823	-2,4	8,9E-03	59	0
CALML4	2,0E-05	+++++++	1,4E-24	-------	2,2E-10	-----+-	cg20716080	5,4	3,5E-08	80	3
PLCB2	8,3E-04	+++++-+	1,3E-15	-------	1,9E-12	---+---	cg02240622	5,3	6,4E-08	227	10
DHPS	1,3E-01	-----++	2,8E-34	-------	2,2E-17	+-+++++	cg15647311	-7,0	1,6E-12	363	6
CELA1	9,3E-05	-------	1,4E-92	-------	2,0E-11	+++++++	cg01904393	-6,4	9,4E-11	123	4
PPIL3	5,1E-07	-------	8,1E-35	-------	8,7E-13	+++-+++	cg09396865	-6,2	3,2E-10	110	1
TGFBR2	3,6E-06	-------	2,2E-53	+++++++	9,3E-13	-------	cg15171154	-6,5	4,7E-11	50	2
SRRM1	5,6E-10	-----?-	5,2E-16	-----?-	3,9E-15	+++-+?+	cg03655701	-5,6	8,4E-09	131	10
ELOVL6	1,8E-04	+++++++	4,6E-12	+------	2,8E-08	-------	cg24818418	4,3	7,4E-06	56	4
TAF4	4,2E-08	+------	5,8E-12	+----+-	4,9E-03	--+++++	cg01521397	-2,6	4,6E-03	200	0
CYBB	4,0E-05	+?+++++	1,3E-02	+?+--+-	3,4E-04	-?-----	cg20959965	2,0	2,1E-02	36	0
IL10RB	2,4E-03	+++++++	1,8E-11	-----+-	7,2E-34	+------	cg08173915	5,9	2,0E-09	152	4
CEPT1	2,4E-06	-----?+	5,4E-31	-----?-	6,5E-16	+++++?+	cg08864105	-6,6	1,7E-11	102	4
C4orf34	6,7E-01	-+-+-++	5,6E-10	+++++-+	3,4E-13	-------	cg26800884	-4,7	1,2E-06	101	1
ABHD3	8,6E-01	+-+-+--	2,6E-02	+-+++++	1,7E-02	-++++-+	cg25517211	1,6	5,2E-02	49	0
MTRF1	4,9E-03	-------	6,5E-08	-++++++	8,5E-04	++-+--+	cg09909069	-2,8	2,3E-03	84	0
STAT2	1,4E-03	-+++-++	1,3E-08	+------	1,0E-04	+----+-	cg16268734	3,2	6,7E-04	233	0
GTF3A	2,1E-03	+--+-+-	6,5E-19	-------	3,0E-22	-++++++	cg10566660	-6,6	2,8E-11	84	5
AOAH	5,7E-03	-++++-+	1,4E-27	-------	1,9E-22	---+---	cg25028542	7,3	2,0E-13	56	5
ICAM4	5,0E-04	++-++++	5,4E-24	++++++-	2,8E-08	+++++++	cg15194935	4,9	5,6E-07	280	3
NAGA	2,2E-03	-+-++++	1,9E-58	-------	2,5E-08	-------	cg27187881	5,3	6,9E-08	153	1
MSH2	6,0E-02	+-+--+-	2,5E-26	-------	1,5E-02	-+++++-	cg07011538	-2,4	9,2E-03	113	0
TRIM44	3,6E-03	-------	6,8E-53	-------	7,9E-05	+++++++	cg08924321	-3,8	6,6E-05	86	1
SAMD9L	1,9E-05	++++-++	7,2E-03	+-+----	1,3E-02	----++-	cg24669786	1,8	3,4E-02	43	0
RARRES3	5,2E-04	++-+-++	7,1E-86	-------	7,9E-60	-------	cg05817709	12,6	2,0E-36	101	12
TSPYL5	1,1E-01	---+?++	9,8E-31	++++?++	6,6E-21	----?--	cg00032205	-7,3	1,7E-13	34	6
STARD3NL	1,2E-02	-++++++	2,8E-09	+----+-	8,7E-07	-------	cg24112733	3,8	7,5E-05	54	1
KANSL2	1,5E-08	-------	2,6E-28	-------	9,1E-22	+++++++	cg05580141	-7,2	2,3E-13	128	3
INPP5D	1,2E-02	+++-+++	3,2E-52	-------	4,6E-06	---+--+	cg16864063	4,4	5,7E-06	146	5
PCSK5	2,7E-01	--++-++	7,8E-18	--+----	8,5E-21	++++-++	cg14178077	-6,3	1,2E-10	28	6
SLITRK4	2,1E-04	+?++++-	9,8E-02	+?+--+-	1,0E-02	+?----+	cg17740349	1,4	8,2E-02	23	0
KIAA0913	6,6E-03	+++-?++	4,7E-30	----?--	2,9E-15	----?--	cg02888518	6,5	4,3E-11	167	7
ARHGAP24	1,3E-01	-+--+++	5,8E-13	-------	3,5E-23	-------	cg02394698	5,8	2,8E-09	31	1
RIOK2	2,7E-03	-------	2,6E-43	-------	3,5E-05	-++++++	cg08175413	-4,0	3,6E-05	47	3
ARF3	8,0E-09	+++++++	2,6E-28	-------	8,1E-06	---+---	cg05580141	4,1	1,8E-05	277	1
NA	9,6E-01	????+??	2,1E-04	????-??	3,0E-03	????-??	NA	2,3	1,0E-02	294	0
ATF3	5,0E-02	-+-+-?+	2,3E-14	-----?-	2,6E-03	-----?-	cg24486958	2,8	2,5E-03	125	0
FCGR2B	8,1E-02	+-+++?+	1,3E-05	+++++?+	1,1E-11	+++++?+	cg01335180	3,7	1,2E-04	93	2
SSBP4	1,3E-04	++-++++	1,8E-35	++-+++-	4,2E-80	+++++++	cg13407975	10,4	1,3E-25	313	28
C11orf75	5,9E-09	-++++++	1,0E-21	-------	2,9E-11	-+-----	cg11800117	5,5	2,4E-08	76	6
TMEM209	2,3E-06	+------	1,7E-13	-------	8,1E-18	-++-+++	cg06917763	-5,6	1,1E-08	117	4
TBCB	2,9E-03	+++++++	9,1E-29	-------	6,6E-18	+------	cg08032619	6,8	4,7E-12	202	11
RIPK3	7,0E-05	-++?+++	1,1E-22	---?---	2,2E-09	+--?---	cg09378756	5,1	1,6E-07	307	4
MAD2L2	1,7E-05	+++++?+	5,1E-14	+++++?-	1,4E-14	+++++?+	cg09932135	5,4	3,7E-08	183	13
CSNK2A2	2,2E-05	+------	1,8E-26	-----+-	2,1E-31	+++++++	cg02990302	-7,9	1,9E-15	118	7
ACADM	1,7E-06	---?-?-	3,5E-05	++-?-?+	1,1E-02	-++?+?+	cg03887502	-2,2	1,5E-02	50	0
FAM70A	7,0E-01	+?+----	3,2E-07	+?+++++	2,6E-01	+?--++-	cg11696466	-1,1	1,4E-01	84	0
DDX1	1,5E-06	+------	9,5E-12	-------	1,1E-11	+-++++-	cg16704560	-4,8	7,6E-07	42	1
MGLL	1,5E-04	++++-++	3,5E-07	-----+-	1,5E-03	+------	cg00391741	2,7	3,5E-03	140	0
ITPRIP	3,2E-06	+++++++	3,4E-21	-----+-	8,5E-50	-------	cg24199006	8,0	7,9E-16	114	9
EPM2A	1,3E-01	------+	2,3E-09	-------	8,3E-02	-++++++	cg03351418	-1,7	4,8E-02	41	0
PGRMC2	2,1E-06	-------	3,0E-33	-------	1,6E-07	++++++-	cg21956614	-4,8	7,8E-07	31	2
RPL30	2,6E-02	---+---	3,8E-06	+----+-	4,8E-14	-++-+++	cg22623649	-3,9	4,1E-05	95	1
TSGA10	9,6E-02	-+--??-	4,7E-17	----??-	3,7E-03	++++??+	cg02787615	-2,7	3,1E-03	88	0
ELF4	5,9E-02	+?+?+++	6,3E-32	-?-?---	4,3E-05	-?-?--+	cg16244634	3,9	5,6E-05	163	1
ZNF706	9,0E-02	--??-++	9,1E-13	+-??-+-	3,5E-04	--??+++	cg11849798	-3,2	7,0E-04	94	0
SMARCAD1	5,9E-05	-------	3,9E-02	+--+-+-	2,1E-06	+++-+++	cg18009021	-1,9	2,9E-02	40	0
ZNF10	2,5E-05	-------	3,8E-02	++-++++	1,9E-02	-+---++	cg14519294	-1,6	6,0E-02	56	0
RUNX3	1,2E-02	++-++?+	5,6E-36	--+--?-	5,6E-109	-----?-	cg23086176	10,9	5,5E-28	118	24
OAS1	3,5E-04	-++++++	1,9E-100	-------	3,0E-26	-------	cg19789466	9,5	1,2E-21	118	4
NGLY1	1,4E-04	------+	2,9E-03	++++++-	8,1E-02	-------	cg19576739	-1,5	6,6E-02	44	0
RPL35	4,4E-02	---+++-	2,3E-12	-------	1,2E-11	++++++-	cg14287565	-4,9	5,4E-07	54	3
EIF2C4	8,5E-05	+++?+?+	1,3E-39	+--?-?-	1,1E-16	---?-?-	cg00957688	7,0	1,1E-12	131	7
TRA2B	1,8E-08	-------	1,2E-18	-------	6,9E-06	-+++++-	cg23956648	-4,0	3,1E-05	75	2
QSOX1	3,2E-02	+++-+?-	6,2E-09	--+--?-	1,2E-11	-+---?+	cg12124589	4,4	5,1E-06	73	3
EI24	1,2E-05	-------	4,4E-08	-------	5,4E-07	+-+++++	cg18436735	-3,7	1,1E-04	92	1
CYSTM1	3,3E-05	+++++++	9,1E-42	-------	1,5E-40	+--+---	cg00450651	9,5	1,0E-21	141	8
MGAM	2,8E-02	+++-+--	1,8E-17	+------	1,7E-103	-------	cg18463686	7,9	1,2E-15	90	3
NA	6,4E-04	????+??	8,3E-28	????-??	1,7E-10	????-??	NA	5,5	1,8E-08	161	6
N6AMT2	1,0E-03	---+---	1,1E-12	-------	1,2E-12	-++-+++	cg11845168	-5,0	2,4E-07	83	2
ZNF800	2,2E-05	+-----+	3,0E-22	+++++++	8,5E-09	-+-----	cg16983084	-5,0	3,7E-07	96	5
C20orf197	1,0E+00	-+++-++	2,3E-26	-------	1,5E-02	-++-+++	cg01986263	-2,4	8,9E-03	45	0
EBP	1,7E-01	-?+++++	7,6E-22	-?-----	6,5E-12	-?-----	cg26486069	5,6	1,1E-08	148	2
CD72	3,6E-08	-+---++	1,4E-20	+++++-+	1,3E-190	-------	cg13823257	-8,9	3,8E-19	102	4
ZNF189	1,3E-02	+----++	6,8E-02	--+---+	8,1E-03	+++++-+	cg13568622	-1,5	6,6E-02	32	0
SH3BP5L	1,3E-02	+++-+?+	1,1E-30	-----?-	1,8E-15	-----?+	cg02856842	6,5	3,0E-11	86	8
MORC2-AS1	2,6E-03	-----+-	1,3E-10	+++++++	7,9E-15	-------	cg23825480	-5,0	3,6E-07	99	2
COLQ	6,2E-02	---?--+	3,5E-21	+++?++-	8,5E-03	---?++-	cg10127490	-2,5	5,7E-03	89	0
GART	2,9E-04	-------	1,4E-12	+----+-	1,8E-50	-++++++	cg16452651	-6,4	7,8E-11	106	4
TPT1	6,4E-03	---++--	6,9E-49	-------	2,2E-10	+++++++	cg06172950	-5,8	2,8E-09	89	1
SUMF2	7,4E-07	---?--+	3,2E-54	---?---	1,5E-47	+++?+++	cg05110225	-10,6	1,8E-26	109	9
SRFBP1	3,1E-01	--+++--	1,3E-23	-------	9,3E-06	-++--++	cg03553758	-4,1	2,5E-05	75	1
CDC16	1,8E-06	-------	5,2E-20	-------	7,6E-26	++++++-	cg12084760	-6,9	2,5E-12	274	25
RBM11	4,6E-03	+---?++	2,3E-09	++++?++	1,8E-02	-+--?--	cg16492707	-2,2	1,4E-02	30	0
HLA-B	8,1E-05	+++++++	1,1E-48	-------	1,4E-08	-------	cg09037630	5,3	6,2E-08	367	2
ABHD5	3,9E-03	+-+++++	1,7E-83	-------	1,4E-20	+--+---	cg00109764	8,4	2,6E-17	53	2
HDAC1	4,4E-07	-----?-	3,5E-38	-----?-	5,8E-28	+++++?+	cg13303520	-8,4	3,2E-17	210	20
ORM1	7,5E-04	-++++-+	7,2E-07	-----+-	9,1E-31	+--+---	cg13999433	4,6	2,7E-06	57	3
TCTN3	1,4E-03	+------	1,4E-30	-------	1,7E-15	-++++++	cg13471990	-6,5	3,0E-11	79	8
MOAP1	1,9E-06	+------	6,5E-45	+++++++	1,9E-27	-------	cg03055890	-8,6	4,2E-18	105	7
PFKFB4	3,7E-07	+++++-+	2,7E-82	-------	5,5E-42	+------	cg14208102	11,1	7,1E-29	231	17
GUSB	3,6E-03	++-++++	2,0E-13	-------	1,1E-06	+-----+	cg22209441	4,1	2,5E-05	69	2
FHOD1	6,1E-04	+++-+++	4,6E-08	-----+-	5,8E-16	-------	cg26719831	4,5	2,9E-06	290	3
SAAL1	4,4E-02	-----++	1,2E-12	-----+-	1,7E-34	+++-+++	cg15312943	-6,1	4,0E-10	74	2
ETFDH	3,4E-01	-+-++-+	5,9E-05	--++--+	1,0E-03	-------	cg24035112	2,5	5,5E-03	52	0
PARP14	5,5E-06	+++++++	1,9E-09	+++++-+	5,5E-06	+-+++++	cg15475502	3,6	1,5E-04	111	2
GP6	1,1E-03	-+++-++	1,2E-02	++++---	7,6E-04	+------	cg00462362	2,0	2,2E-02	159	0
ZRANB2	1,4E-05	-----?-	3,2E-02	--+--?-	6,9E-02	+++-+?+	cg00781169	-1,4	8,3E-02	28	0
NUP62	2,5E-05	+----++	5,0E-18	-------	1,7E-14	+-+-++-	cg23668335	-5,7	4,7E-09	221	3
MIR17HG	5,0E-02	+------	1,7E-26	-------	4,4E-05	+++++++	cg02297838	-3,8	6,7E-05	37	2
ARSG	5,4E-02	+++++-+	4,1E-26	-------	3,7E-08	-+-----	cg25161129	4,9	5,3E-07	109	6
CCDC34	8,0E-03	+------	1,0E-05	-----+-	4,2E-06	+-+-+++	cg16964946	-3,2	7,2E-04	62	1
CMTM3	5,4E-02	++++-+-	6,3E-29	-------	4,3E-04	-------	cg09504873	3,4	3,9E-04	167	0
ABCF2	7,3E-01	+---+++	1,1E-23	++-++++	6,5E-08	--+-+++	cg17429236	4,8	9,7E-07	396	7
TK2	6,2E-05	+++++++	2,0E-15	-------	6,3E-21	-------	cg09238666	6,1	6,8E-10	149	11
SLC26A6	2,3E-01	-++-+-+	3,1E-37	-------	3,5E-03	+-----+	cg24608717	2,9	2,2E-03	224	0
RPS6KA1	2,5E-04	+++-+?+	1,3E-55	-----?-	1,3E-17	-----?-	cg23955417	7,5	3,0E-14	193	11
DUSP10	4,5E-01	-+-+-?+	1,3E-05	-----?-	3,2E-02	-----?+	cg23805594	1,9	2,7E-02	40	0
RPL23AP64	2,0E-04	----?+-	3,5E-19	++++?-+	5,2E-06	+--+?--	cg04625873	-4,1	2,5E-05	229	4
LARS2	3,7E-03	+-----+	1,5E-10	-------	4,7E-07	+++++++	cg25437886	-4,0	3,8E-05	108	2
TBC1D2	5,5E-03	-++++-+	2,2E-14	-------	1,8E-10	-+-----	cg01618660	4,9	4,9E-07	45	2
OXCT1	2,8E-01	---+--+	7,6E-05	----+--	1,3E-01	+++++++	cg26067897	-1,4	7,7E-02	52	0
FANCA	1,9E-01	++--+++	1,8E-06	+-+++-+	2,5E-04	+++++++	cg00867406	2,9	1,8E-03	394	0
MAGEE1	3,2E-06	-?-----	5,4E-02	-?+----	3,0E-01	+?-++++	cg13806096	-0,9	1,8E-01	11	0
TMBIM1	7,6E-05	+++-+++	1,6E-28	-------	4,4E-09	---+---	cg06547715	5,2	1,1E-07	148	5
RIPK2	7,6E-04	++++-+-	7,8E-06	-+-----	6,0E-05	---+---	cg16565528	3,0	1,4E-03	46	0
HLA-E	2,2E-05	+++++++	3,5E-42	--+----	5,8E-11	--+----	cg10692140	5,9	1,8E-09	847	11
ZNF337	3,6E-05	+------	1,0E-08	+------	1,8E-16	-+++++-	cg06913219	-4,7	1,3E-06	39	1
CCT6A	1,8E-05	-----+-	6,8E-71	-------	4,3E-06	-++++++	cg08370546	-4,5	4,3E-06	109	2
BCS1L	2,9E-02	+--+---	7,9E-23	-------	7,6E-11	+-+-++-	cg11123644	-5,4	2,8E-08	158	1
RPS18	2,1E-03	---+---	1,7E-49	-------	1,5E-25	+++++++	cg24287218	-8,5	7,2E-18	1321	31
SH2D3A	3,7E-02	+---++-	6,6E-10	+----+-	1,2E-09	+++++++	cg05025071	-4,3	7,4E-06	114	1
HIVEP2	2,7E-01	-++---+	1,0E-07	+++++-+	2,6E-04	+------	cg06770429	-3,0	1,3E-03	40	0
ACSL1	1,3E-01	+-+-+-+	1,0E-27	-------	2,7E-56	-+-----	cg26913344	9,0	1,4E-19	119	6
ZNF567	5,4E-04	-------	5,1E-55	+++++++	4,7E-02	-+-----	cg22517995	-2,0	2,4E-02	118	0
CCNC	2,0E-05	-------	1,9E-13	++++++-	7,1E-03	----+--	cg01422797	-2,5	5,8E-03	123	0
SNX11	1,3E-04	+++++++	3,0E-43	+------	1,9E-19	---+---	cg05446659	7,6	2,2E-14	147	6
FBXO10	7,6E-02	+----?+	2,1E-07	+----?-	6,6E-03	-++++?-	cg13893555	-2,4	8,0E-03	64	0
IPO11	2,3E-02	---+---	3,0E-18	-------	2,6E-03	+++++--	cg24864203	-2,8	2,2E-03	45	0
EMP3	7,7E-04	++-+-++	8,9E-81	-------	1,3E-12	-------	cg11521325	6,6	1,5E-11	210	10
PRIM1	3,1E-04	---?---	1,6E-15	---?-+-	2,3E-10	+++?+++	cg21814633	-5,0	3,5E-07	98	4
EIF4EBP2	6,8E-05	-++++++	1,9E-31	-------	1,1E-05	------+	cg13585930	4,1	2,0E-05	145	3
HIC2	9,3E-03	-------	4,6E-13	-------	5,4E-05	+++++++	cg04282607	-3,5	2,1E-04	87	3
ENDOD1	1,7E-04	++++++-	3,2E-160	-------	1,0E-02	----++-	cg10001186	2,6	5,2E-03	80	0
USF1	1,1E-05	-++++?+	7,6E-13	-----?-	7,9E-03	+--+-?-	cg20609803	2,5	6,4E-03	222	0
UBXN1	4,1E-03	+--+---	1,6E-46	-------	1,3E-19	+++++++	cg18825531	-7,7	9,6E-15	399	9
SCIMP	5,0E-03	-+++-++	1,4E-26	+------	1,4E-06	+------	cg09580393	4,4	5,6E-06	153	2
USP4	1,6E-01	-+++--+	2,1E-19	+------	7,4E-05	+--+---	cg25021247	3,6	1,4E-04	203	1
PTTG1	6,7E-01	++-+---	3,7E-52	-------	1,9E-22	-------	cg01119875	8,2	1,1E-16	92	21
TAP1	3,1E-03	+++++++	1,7E-49	-------	1,5E-17	-------	cg24287218	7,4	7,6E-14	508	27
MRPL35	9,2E-03	------+	2,7E-26	+++++++	2,8E-12	-------	cg07133479	-5,8	2,7E-09	103	2
POLG2	1,2E-05	-------	2,9E-42	+++++++	8,3E-11	-------	cg25061701	-5,9	2,3E-09	73	3
ANKS1A	6,0E-02	+-+-+++	5,4E-40	-------	2,1E-11	---+--+	cg08207604	6,0	1,1E-09	137	8
HSPA6	8,0E-06	+++++?+	8,7E-11	+----?-	4,7E-50	-----?-	cg00974864	6,0	1,4E-09	96	4
NLRC5	1,2E-01	++-++-+	1,7E-09	--+---+	1,1E-35	-------	cg08159663	5,4	2,9E-08	108	7
LSM4	1,9E-02	+--+---	4,8E-37	-------	3,0E-21	+++++++	cg26152923	-7,6	1,6E-14	274	10
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
